Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Reading,Notes,Listening_in_Class,Project_work,Attendance,Grade
11210,22,Female,State,75%,No,Yes,Private,8,Yes,No,Yes,Yes,Sometimes,CC
11211,18,Male,State,25%,No,Yes,Private,9,No,Yes,Yes,Yes,Always,DC
11212,21,Female,Private,0%,No,No,Bus,10,Yes,No,No,Yes,Sometimes,DC
11213,19,Female,State,75%,No,Yes,Private,7,Yes,Yes,Yes,No,Sometimes,CC
11214,23,Female,State,0%,No,No,Bus,9,Yes,Yes,Yes,No,Sometimes,BB
11215,19,Female,State,0%,Yes,No,Private,4,No,Yes,Yes,Yes,Always,DC
11216,18,Male,State,25%,No,No,Bus,5,Yes,Yes,No,Yes,Sometimes,DC
11217,23,Male,State,50%,No,No,Private,5,Yes,Yes,Yes,Yes,Always,DC
11218,19,Male,State,75%,Yes,Yes,Bike,10,Yes,Yes,No,Yes,Sometimes,DC
11219,22,Male,State,25%,Yes,Yes,Bus,9,No,Yes,Yes,No,Always,BB
11220,20,Male,State,0%,No,Yes,Bus,7,Yes,Yes,Yes,Yes,Always,DC
11221,18,Male,Private,50%,No,No,Bus,11,Yes,Yes,Yes,Yes,Sometimes,CC
11222,19,Female,State,50%,No,Yes,Bus,10,Yes,No,Yes,Yes,Always,CC
11223,18,Female,Private,25%,No,Yes,Bus,7,Yes,Yes,Yes,Yes,Always,CC
11224,24,Male,Private,25%,No,No,Private,4,No,Yes,Yes,No,Always,DC
11225,18,Male,State,100%,Yes,Yes,Bus,5,Yes,Yes,No,Yes,Sometimes,DC
11226,23,Female,State,100%,Yes,No,Bus,2,No,Yes,Yes,Yes,Always,FF
11227,24,Male,State,100%,Yes,Yes,Private,9,No,No,No,No,Always,DC
11228,25,Male,Private,75%,Yes,Yes,Bus,5,No,No,Yes,Yes,Sometimes,FF
11229,23,Male,Private,0%,Yes,Yes,Bus,6,Yes,No,No,Yes,Sometimes,FF
11230,20,Female,Private,25%,No,Yes,Private,7,Yes,Yes,No,Yes,Sometimes,FF
11231,24,Male,Private,25%,No,No,Private,12,Yes,Yes,Yes,No,Sometimes,CC
11232,25,Female,State,25%,No,Yes,Bus,12,No,Yes,No,No,Never,DC
11233,22,Male,Private,100%,No,Yes,Bus,8,No,Yes,No,No,Sometimes,DC
11234,18,Female,State,75%,No,No,Bus,13,Yes,No,Yes,No,Sometimes,BB
11235,19,Male,Private,50%,No,No,Bus,0,No,No,No,Yes,Sometimes,FF
11236,21,Male,Other,0%,No,No,Bus,16,No,Yes,Yes,Yes,Sometimes,BB
11237,18,Female,Private,100%,No,No,Private,11,No,Yes,Yes,No,Always,BB
11238,25,Female,Private,75%,Yes,No,Private,8,Yes,Yes,Yes,Yes,Always,BB
11239,18,Female,Private,0%,No,Yes,Bus,4,No,No,Yes,Yes,Sometimes,DC
11240,20,Female,State,75%,No,No,Bus,6,No,Yes,Yes,No,Sometimes,DC
11241,22,Female,State,25%,No,No,Bus,10,Yes,Yes,No,Yes,Sometimes,CC
11242,21,Female,State,0%,No,Yes,Bus,11,No,No,No,Yes,Always,CC
11243,24,Female,State,50%,No,Yes,Private,11,Yes,No,No,No,Always,DC
11244,24,Male,Private,50%,No,Yes,Private,5,Yes,Yes,Yes,No,Sometimes,DC
11245,24,Male,State,0%,Yes,Yes,Bus,4,No,Yes,No,Yes,Always,DC
11246,25,Male,State,25%,No,Yes,Bus,9,Yes,No,Yes,Yes,Sometimes,DC
11247,23,Female,Private,100%,Yes,Yes,Private,11,No,Yes,No,Yes,Never,DC
11248,23,Male,Private,50%,No,No,Bus,8,Yes,No,Yes,Yes,Sometimes,DC
11249,19,Male,Private,50%,Yes,No,Bus,14,Yes,Yes,No,Yes,Sometimes,CC
11250,21,Female,Private,25%,No,No,Bus,8,Yes,No,Yes,No,Always,DC
11251,24,Female,State,0%,Yes,No,Bus,8,Yes,No,No,Yes,Always,DC
11252,23,Female,Private,25%,No,Yes,Bus,11,No,No,No,No,Always,DC
11253,25,Male,Private,25%,Yes,No,Bike,13,Yes,Yes,No,No,Always,BB
11254,19,Female,Private,25%,Yes,No,Bus,3,Yes,Yes,Yes,No,Always,CC
11255,22,Male,Other,0%,No,Yes,Bus,4,Yes,Yes,No,Yes,Always,DC
11256,19,Male,State,50%,Yes,Yes,Private,7,No,No,No,Yes,Always,FF
11257,23,Male,Private,25%,Yes,Yes,Bus,20,Yes,Yes,Yes,No,Never,BB
11258,20,Male,Private,75%,Yes,Yes,Bus,7,No,Yes,Yes,No,Always,DC
11259,25,Male,Private,0%,No,Yes,Bus,8,Yes,Yes,Yes,Yes,Always,CC
11260,20,Female,State,50%,No,Yes,Bus,10,Yes,No,No,No,Always,CC
11261,24,Male,Private,0%,Yes,Yes,Private,12,No,No,Yes,Yes,Always,CC
11262,20,Female,State,50%,Yes,Yes,Bus,9,Yes,No,No,No,Never,DC
11263,24,Female,State,0%,No,No,Bike,13,Yes,Yes,Yes,Yes,Always,BA
11264,24,Male,State,100%,No,Yes,Private,3,No,No,Yes,No,Always,DC
11265,23,Male,Private,75%,No,Yes,Bus,5,Yes,Yes,No,No,Always,DC
11266,20,Male,State,50%,No,No,Bus,13,No,No,Yes,No,Sometimes,DC
11267,24,Female,State,0%,No,No,Bus,8,No,Yes,Yes,No,Always,CC
11268,21,Male,Private,50%,No,Yes,Bus,3,Yes,Yes,No,Yes,Never,FF
11269,22,Male,Private,75%,No,No,Bus,3,Yes,Yes,Yes,Yes,Always,DC
11270,19,Male,Private,0%,No,Yes,Bus,5,Yes,Yes,Yes,Yes,Always,DC
11271,19,Female,Private,50%,No,Yes,Bike,8,No,Yes,Yes,Yes,Always,DC
11272,23,Female,Private,75%,No,Yes,Bus,10,No,Yes,No,Yes,Always,DC
11273,20,Male,State,75%,No,No,Bus,7,Yes,Yes,Yes,Yes,Always,CC
11274,20,Female,State,75%,No,Yes,Bus,10,Yes,Yes,Yes,No,Always,CC
11275,24,Female,Other,75%,No,No,Bus,6,Yes,Yes,Yes,No,Always,DC
11276,25,Female,Private,100%,No,Yes,Private,13,Yes,No,Yes,Yes,Always,BB
11277,18,Female,Other,25%,Yes,No,Private,18,Yes,No,Yes,No,Never,BB
11278,24,Female,Private,50%,No,Yes,Bus,6,No,No,Yes,Yes,Always,DC
11279,22,Female,State,75%,No,Yes,Private,10,No,Yes,Yes,Yes,Never,CC
11280,21,Female,Private,50%,No,No,Private,10,No,No,No,No,Always,DC
11281,19,Male,Private,100%,No,No,Private,9,Yes,No,Yes,Yes,Always,CC
11282,24,Male,State,0%,Yes,Yes,Private,11,No,Yes,Yes,Yes,Never,BB
11283,18,Male,Private,25%,Yes,No,Private,10,No,Yes,Yes,Yes,Always,CC
11284,18,Female,State,25%,No,No,Bus,6,Yes,Yes,Yes,No,Sometimes,DC
11285,24,Female,State,25%,No,Yes,Bus,13,Yes,Yes,Yes,Yes,Sometimes,BB
11286,23,Male,State,25%,No,No,Bus,9,No,No,Yes,Yes,Always,CC
11287,19,Female,State,50%,Yes,No,Bus,6,No,Yes,Yes,Yes,Sometimes,DC
11288,23,Male,State,0%,No,Yes,Private,18,Yes,Yes,Yes,No,Sometimes,AA
11289,21,Male,Private,50%,No,Yes,Bus,8,Yes,Yes,Yes,Yes,Always,CC
11290,18,Female,State,50%,No,No,Bike,9,Yes,Yes,No,Yes,Never,DC
11291,18,Male,State,25%,No,Yes,Bus,9,No,No,No,Yes,Always,FF
11292,22,Male,Private,25%,No,Yes,Private,7,No,Yes,Yes,Yes,Sometimes,CC
11293,21,Female,Private,50%,No,Yes,Private,10,Yes,Yes,Yes,Yes,Always,CC
11294,18,Female,State,75%,No,No,Private,5,Yes,Yes,Yes,Yes,Always,CC
11295,21,Male,State,75%,Yes,Yes,Private,10,No,Yes,Yes,No,Always,BB
11296,19,Female,State,75%,No,No,Bus,1,No,No,Yes,Yes,Sometimes,FF
11297,20,Female,Private,100%,No,Yes,Bus,3,No,No,Yes,Yes,Sometimes,FF
11298,18,Male,State,50%,No,Yes,Bike,15,No,Yes,Yes,No,Always,BA
11299,22,Male,Private,100%,No,No,Bus,3,Yes,Yes,Yes,Yes,Always,DC
11300,19,Female,State,75%,No,No,Bus,0,No,Yes,Yes,No,Sometimes,FF
11301,24,Male,State,75%,No,Yes,Bus,3,Yes,Yes,Yes,Yes,Always,DC
11302,21,Female,Private,0%,No,Yes,Bus,15,No,Yes,No,No,Never,CC
11303,24,Female,State,100%,No,Yes,Private,1,Yes,Yes,No,No,Always,FF
11304,23,Female,Other,50%,No,No,Private,4,No,No,Yes,Yes,Sometimes,DC
11305,19,Male,State,75%,Yes,Yes,Bike,2,No,Yes,Yes,Yes,Sometimes,DC
11306,24,Female,State,0%,No,No,Bus,7,Yes,No,Yes,Yes,Sometimes,DC
11307,25,Male,State,25%,No,No,Bus,6,Yes,Yes,Yes,No,Never,DC
11308,25,Male,State,25%,Yes,Yes,Private,6,Yes,Yes,Yes,Yes,Always,DC
11309,18,Male,Private,25%,Yes,Yes,Bike,15,No,Yes,Yes,No,Always,BA
11310,21,Male,Private,0%,No,Yes,Bike,3,No,Yes,Yes,No,Always,DC
11311,20,Female,Private,75%,No,Yes,Private,8,No,Yes,Yes,Yes,Always,DC
11312,19,Male,State,0%,No,No,Bus,9,Yes,No,Yes,No,Sometimes,CC
11313,18,Male,State,25%,Yes,No,Bus,4,Yes,Yes,Yes,Yes,Always,DC
11314,22,Female,Private,0%,Yes,No,Private,10,Yes,Yes,Yes,Yes,Always,BB
11315,23,Male,State,50%,No,Yes,Private,6,Yes,No,Yes,Yes,Sometimes,DC
11316,21,Female,State,25%,Yes,No,Private,9,Yes,Yes,Yes,Yes,Sometimes,BB
11317,19,Male,State,25%,Yes,Yes,Bus,8,No,Yes,Yes,Yes,Always,DC
11318,25,Female,Private,50%,Yes,Yes,Private,0,Yes,No,Yes,Yes,Always,FF
11319,19,Female,State,50%,Yes,No,Bus,13,No,Yes,Yes,No,Always,CC
11320,20,Male,Private,0%,Yes,No,Bus,16,Yes,Yes,No,No,Always,BA
11321,25,Male,Private,0%,No,Yes,Bus,7,Yes,Yes,Yes,No,Always,CC
11322,20,Male,Other,25%,Yes,No,Bike,4,Yes,Yes,Yes,No,Always,DC
11323,22,Female,Private,100%,No,No,Bus,14,Yes,Yes,Yes,No,Always,BB
11324,23,Male,Private,25%,No,No,Bus,16,No,No,Yes,Yes,Never,DC
11325,22,Male,State,50%,No,Yes,Bus,7,Yes,Yes,Yes,Yes,Always,CC
11326,18,Male,Private,25%,No,No,Private,7,Yes,Yes,Yes,Yes,Always,DC
11327,18,Male,State,50%,No,No,Bus,8,No,Yes,No,Yes,Always,CC
11328,22,Male,Private,0%,No,No,Bike,1,No,No,No,No,Always,FF
11329,23,Female,Private,0%,No,No,Bus,7,Yes,No,Yes,No,Sometimes,DC
11330,22,Male,Private,50%,No,No,Bus,15,Yes,Yes,Yes,No,Never,BA
11331,23,Male,Private,25%,No,Yes,Private,7,Yes,No,Yes,Yes,Sometimes,CC
11332,23,Female,State,0%,No,Yes,Bus,4,Yes,Yes,No,No,Always,DC
11333,24,Female,State,50%,Yes,Yes,Bus,10,Yes,Yes,Yes,No,Always,CC
11334,25,Male,State,100%,No,Yes,Bus,5,No,No,Yes,Yes,Always,DC
11335,21,Male,Other,25%,No,Yes,Private,8,Yes,Yes,Yes,Yes,Always,CC
11336,23,Male,Private,50%,No,No,Bus,3,Yes,No,Yes,No,Always,DC
11337,20,Female,State,100%,Yes,Yes,Bus,4,Yes,Yes,Yes,Yes,Always,DC
11338,23,Male,State,75%,No,No,Private,11,No,No,Yes,No,Always,CC
11339,23,Female,Other,50%,No,No,Bus,8,Yes,Yes,Yes,No,Always,CC
11340,23,Female,Private,50%,Yes,Yes,Bus,5,Yes,No,Yes,Yes,Always,CC
11341,24,Female,State,0%,No,No,Bus,8,Yes,Yes,No,Yes,Sometimes,DC
11342,25,Male,State,50%,No,Yes,Private,6,Yes,Yes,Yes,No,Always,DC
11343,24,Male,Private,25%,No,No,Bus,5,Yes,Yes,Yes,No,Always,CC
11344,18,Male,State,0%,No,No,Private,13,Yes,No,Yes,Yes,Always,CC
11345,24,Male,Private,25%,No,Yes,Private,11,Yes,Yes,No,Yes,Never,CC
11346,20,Female,State,0%,No,Yes,Bus,8,Yes,Yes,Yes,Yes,Sometimes,DC
11347,20,Female,Other,50%,No,Yes,Bike,9,Yes,No,Yes,No,Sometimes,DC
11348,24,Female,State,50%,No,No,Bus,8,No,Yes,Yes,Yes,Always,BB
11349,25,Female,State,50%,No,No,Bus,10,Yes,Yes,No,Yes,Always,CC
11350,22,Male,Private,0%,No,Yes,Private,5,No,No,Yes,No,Never,FF
11351,21,Male,Other,0%,No,No,Bus,11,Yes,Yes,Yes,Yes,Sometimes,CC
11352,25,Male,State,50%,Yes,Yes,Bus,9,No,No,Yes,No,Always,CC
11353,24,Female,Private,100%,Yes,Yes,Bus,7,Yes,Yes,Yes,No,Sometimes,CC
11354,23,Female,State,0%,No,No,Bus,6,Yes,Yes,No,Yes,Always,FF
11355,19,Female,State,25%,No,Yes,Bus,11,No,Yes,Yes,Yes,Always,CC
11356,21,Male,Private,75%,No,No,Private,7,No,No,Yes,Yes,Always,DC
11357,21,Male,Private,0%,Yes,No,Private,5,No,No,No,Yes,Always,FF
11358,20,Female,Private,75%,No,No,Bus,6,No,Yes,Yes,No,Sometimes,FF
11359,21,Male,State,50%,No,Yes,Bus,11,Yes,Yes,Yes,Yes,Sometimes,CC
11360,24,Female,State,25%,No,Yes,Bus,2,Yes,Yes,Yes,Yes,Always,FF
11361,23,Female,State,25%,Yes,Yes,Bus,7,Yes,No,Yes,Yes,Sometimes,FF
11362,23,Female,State,25%,No,No,Bus,12,Yes,Yes,Yes,Yes,Always,BB
11363,18,Male,State,25%,Yes,No,Bus,7,No,Yes,Yes,Yes,Always,CC
11364,23,Male,State,75%,Yes,Yes,Bus,9,Yes,No,Yes,No,Always,CC
11365,25,Male,Private,50%,No,No,Bus,12,No,No,Yes,Yes,Sometimes,CC
11366,23,Male,State,50%,Yes,Yes,Private,12,Yes,Yes,Yes,Yes,Always,BB
11367,20,Male,State,75%,Yes,Yes,Bus,6,Yes,No,Yes,No,Sometimes,DC
11368,23,Female,State,25%,No,Yes,Bike,7,Yes,No,Yes,No,Always,DC
11369,18,Female,State,50%,Yes,Yes,Private,12,Yes,No,Yes,Yes,Always,BB
11370,19,Male,Private,50%,No,Yes,Bike,12,No,Yes,Yes,Yes,Never,CC
11371,24,Male,Other,75%,Yes,Yes,Private,8,No,Yes,Yes,Yes,Always,DC
11372,20,Male,Private,25%,No,No,Private,8,Yes,No,Yes,Yes,Sometimes,CC
11373,25,Male,State,50%,No,No,Bus,9,No,Yes,No,No,Always,DC
11374,19,Female,Private,75%,Yes,Yes,Bus,13,Yes,Yes,Yes,Yes,Always,BB
11375,20,Male,Other,25%,No,No,Private,12,No,Yes,Yes,No,Always,BB
11376,22,Male,Private,0%,No,No,Private,11,Yes,Yes,No,No,Never,CC
11377,21,Male,Private,50%,Yes,Yes,Bus,4,Yes,Yes,No,No,Always,FF
11378,22,Female,Private,25%,No,No,Private,7,Yes,No,Yes,Yes,Sometimes,DC
11379,23,Female,Private,50%,Yes,No,Bus,7,Yes,Yes,Yes,Yes,Always,BB
11380,19,Male,Private,100%,Yes,No,Bus,14,Yes,Yes,No,Yes,Never,BB
11381,23,Female,State,50%,Yes,No,Bus,7,Yes,Yes,Yes,No,Always,CC
11382,21,Female,State,50%,No,No,Private,13,Yes,Yes,No,Yes,Always,BB
11383,20,Female,Private,50%,No,Yes,Private,6,Yes,Yes,No,Yes,Sometimes,DC
11384,21,Male,Private,0%,No,No,Private,6,No,No,Yes,Yes,Sometimes,DC
11385,18,Female,State,25%,No,Yes,Private,10,No,Yes,No,Yes,Never,DC
11386,21,Female,State,100%,No,No,Bus,14,No,Yes,Yes,No,Always,BB
11387,18,Female,State,50%,No,Yes,Bike,7,Yes,No,No,No,Sometimes,CC
11388,21,Female,State,0%,No,Yes,Bus,0,Yes,Yes,Yes,No,Always,FF
11389,24,Female,Private,25%,No,No,Private,2,Yes,No,Yes,No,Sometimes,FF
11390,18,Male,Private,50%,Yes,Yes,Bus,9,Yes,Yes,Yes,Yes,Always,CC
11391,19,Female,Private,75%,No,No,Bus,2,Yes,No,Yes,Yes,Always,DC
11392,23,Female,State,75%,No,Yes,Private,5,Yes,Yes,No,Yes,Never,FF
11393,25,Female,Other,25%,No,No,Private,8,Yes,No,Yes,Yes,Always,CC
11394,23,Male,State,100%,No,Yes,Bus,0,Yes,Yes,Yes,Yes,Always,FF
11395,22,Female,Private,50%,No,Yes,Private,6,Yes,Yes,Yes,No,Always,CC
11396,23,Female,Private,50%,No,Yes,Bus,3,No,Yes,No,No,Always,FF
11397,20,Male,Private,50%,No,No,Bus,2,No,Yes,Yes,No,Always,FF
11398,24,Female,State,0%,No,No,Private,5,Yes,No,No,Yes,Always,DC
11399,21,Female,Private,100%,Yes,No,Bus,4,Yes,Yes,Yes,Yes,Sometimes,DC
11400,22,Female,Other,0%,No,No,Private,10,No,Yes,Yes,No,Always,CC
11401,20,Male,Private,25%,No,No,Bus,13,No,Yes,No,No,Sometimes,CC
11402,20,Male,Other,75%,No,No,Bus,7,No,No,Yes,Yes,Sometimes,DC
11403,18,Female,State,50%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Always,CC
11404,23,Male,State,75%,No,Yes,Bus,6,Yes,Yes,No,Yes,Always,FF
11405,19,Female,State,50%,Yes,Yes,Bus,4,Yes,Yes,Yes,No,Always,CC
11406,25,Male,State,25%,No,Yes,Private,3,No,No,Yes,Yes,Always,FF
11407,19,Female,State,100%,No,No,Bike,1,No,Yes,No,Yes,Sometimes,FF
11408,22,Male,State,0%,No,No,Private,3,Yes,Yes,Yes,No,Always,DC
11409,24,Female,State,75%,No,No,Private,15,Yes,Yes,No,No,Always,BB
11410,19,Male,Other,25%,Yes,No,Bus,5,Yes,Yes,Yes,Yes,Never,FF
11411,21,Male,State,75%,No,No,Bus,0,No,Yes,Yes,Yes,Always,FF
11412,19,Male,State,0%,No,No,Bus,6,No,Yes,Yes,No,Sometimes,DC
11413,22,Male,State,50%,No,Yes,Bus,2,Yes,No,No,Yes,Always,DC
11414,25,Female,Private,75%,No,Yes,Private,8,Yes,No,No,Yes,Always,CC
11415,19,Female,Private,50%,No,Yes,Bus,8,Yes,No,Yes,No,Always,CC
11416,21,Male,State,50%,No,Yes,Bus,8,No,Yes,Yes,No,Sometimes,CC
11417,18,Female,State,75%,No,No,Bus,8,No,No,Yes,Yes,Sometimes,DC
11418,24,Male,State,50%,No,No,Bus,7,Yes,Yes,Yes,No,Never,DC
11419,22,Female,State,100%,No,Yes,Bus,2,Yes,Yes,No,Yes,Always,DC
11420,18,Female,State,25%,No,No,Private,8,Yes,Yes,Yes,No,Sometimes,BB
11421,18,Female,State,0%,No,No,Bus,12,Yes,Yes,No,No,Sometimes,CC
11422,18,Male,Private,0%,Yes,Yes,Private,15,Yes,Yes,Yes,No,Always,BB
11423,20,Female,State,25%,No,Yes,Bus,7,Yes,Yes,Yes,No,Sometimes,CC
11424,24,Male,State,0%,Yes,No,Private,7,No,Yes,Yes,No,Always,DC
11425,25,Female,Private,50%,Yes,No,Private,10,No,Yes,Yes,No,Always,BB
11426,23,Male,State,0%,No,Yes,Private,14,Yes,Yes,Yes,Yes,Sometimes,BA
11427,24,Female,State,0%,No,Yes,Bus,6,Yes,No,No,Yes,Always,DC
11428,20,Female,Private,0%,No,Yes,Bus,11,Yes,No,Yes,Yes,Sometimes,DC
11429,23,Female,Private,75%,Yes,Yes,Bike,5,No,No,Yes,Yes,Always,DC
11430,24,Male,Other,50%,No,No,Bus,9,No,No,Yes,Yes,Never,CC
11431,18,Female,Private,25%,No,Yes,Bus,12,Yes,No,No,Yes,Never,DC
11432,22,Male,Private,75%,No,Yes,Bus,3,Yes,No,No,No,Always,DC
11433,23,Female,Private,0%,No,Yes,Private,6,Yes,No,Yes,Yes,Sometimes,DC
11434,21,Male,State,100%,No,No,Bus,12,Yes,Yes,No,Yes,Always,CC
11435,21,Male,State,50%,Yes,Yes,Private,10,Yes,No,Yes,Yes,Sometimes,BB
11436,19,Female,State,0%,No,Yes,Bus,12,Yes,Yes,Yes,Yes,Sometimes,BB
11437,23,Male,Private,50%,No,No,Bus,11,Yes,Yes,No,No,Sometimes,DC
11438,22,Male,State,75%,No,Yes,Bus,7,Yes,No,Yes,Yes,Sometimes,DC
11439,25,Male,Private,25%,Yes,Yes,Bus,17,No,Yes,Yes,Yes,Sometimes,BA
11440,20,Male,Private,75%,No,Yes,Bus,9,Yes,Yes,No,No,Always,DC
11441,18,Female,State,0%,No,No,Bus,0,No,Yes,Yes,Yes,Always,FF
11442,19,Female,Private,25%,Yes,No,Bus,7,Yes,No,Yes,Yes,Sometimes,DC
11443,21,Male,State,0%,No,Yes,Private,6,Yes,No,Yes,Yes,Sometimes,FF
11444,20,Male,Other,25%,No,Yes,Bus,11,Yes,Yes,Yes,Yes,Always,BB
11445,20,Male,Private,25%,No,Yes,Bus,6,Yes,Yes,No,No,Never,DC
11446,18,Male,State,100%,No,No,Bus,12,Yes,No,No,Yes,Sometimes,CC
11447,25,Female,State,0%,Yes,No,Bus,10,Yes,No,Yes,Yes,Always,BB
11448,25,Female,Other,25%,No,No,Bus,4,Yes,Yes,No,Yes,Always,DC
11449,23,Male,Private,50%,No,No,Bus,7,No,No,Yes,Yes,Sometimes,FF
11450,21,Male,State,75%,No,No,Private,5,Yes,Yes,Yes,Yes,Always,DC
11451,25,Male,Private,100%,No,No,Bus,9,Yes,Yes,Yes,Yes,Always,CC
11452,22,Female,State,75%,Yes,No,Private,5,No,No,Yes,Yes,Always,DC
11453,25,Female,Private,100%,No,Yes,Bus,8,No,No,No,No,Always,FF
11454,20,Male,State,75%,No,Yes,Private,7,Yes,Yes,No,No,Always,CC
11455,18,Male,Private,100%,Yes,No,Bus,7,Yes,Yes,No,Yes,Sometimes,DC
11456,22,Female,Private,50%,No,No,Bus,16,Yes,Yes,Yes,No,Never,CC
11457,23,Female,State,0%,No,No,Private,7,Yes,No,No,No,Never,FF
11458,21,Male,State,25%,No,Yes,Bus,0,Yes,No,Yes,No,Always,FF
11459,23,Male,State,50%,No,No,Bus,12,Yes,Yes,Yes,Yes,Always,CC
11460,20,Male,State,25%,No,Yes,Bus,12,No,Yes,No,No,Always,DC
11461,22,Female,Private,25%,No,No,Private,0,Yes,Yes,Yes,No,Always,FF
11462,22,Male,State,50%,Yes,Yes,Private,5,Yes,No,Yes,No,Always,DC
11463,22,Male,State,100%,No,Yes,Private,10,Yes,Yes,Yes,No,Always,BB
11464,20,Female,Private,0%,Yes,Yes,Bike,10,Yes,Yes,No,Yes,Always,CC
11465,20,Male,State,75%,No,No,Bus,8,Yes,No,Yes,Yes,Sometimes,DC
11466,23,Female,State,50%,Yes,Yes,Bus,8,Yes,Yes,Yes,No,Always,CC
11467,19,Male,State,100%,Yes,Yes,Private,4,Yes,Yes,Yes,Yes,Always,DC
11468,23,Male,State,100%,Yes,Yes,Bike,0,No,Yes,Yes,Yes,Sometimes,FF
11469,21,Female,State,75%,No,No,Bus,16,Yes,Yes,Yes,Yes,Sometimes,BA
11470,18,Male,Private,50%,No,Yes,Bike,4,Yes,No,Yes,No,Always,DC
11471,22,Female,Private,25%,No,No,Bus,9,No,Yes,Yes,Yes,Sometimes,DC
11472,19,Female,State,50%,Yes,No,Private,7,No,Yes,Yes,No,Never,DC
11473,18,Male,Private,75%,No,Yes,Private,12,Yes,Yes,Yes,No,Always,BB
11474,19,Female,Private,75%,No,No,Private,8,No,Yes,Yes,Yes,Always,DC
11475,25,Male,State,75%,No,Yes,Bus,9,Yes,Yes,No,No,Always,CC
11476,25,Female,State,0%,No,No,Bus,0,Yes,Yes,Yes,Yes,Always,DC
11477,24,Male,Private,50%,No,Yes,Bus,5,Yes,No,Yes,Yes,Always,DC
11478,25,Female,State,25%,No,No,Bus,11,Yes,No,No,No,Always,CC
11479,23,Male,State,0%,Yes,No,Private,11,Yes,No,Yes,Yes,Always,CC
11480,25,Male,Private,25%,Yes,No,Bike,4,Yes,No,Yes,Yes,Always,FF
11481,20,Female,State,0%,No,Yes,Bus,2,No,No,Yes,Yes,Sometimes,FF
11482,22,Female,State,75%,No,Yes,Bus,9,Yes,No,Yes,No,Never,DC
11483,23,Male,State,25%,Yes,No,Bus,0,Yes,Yes,Yes,Yes,Always,FF
11484,18,Male,State,25%,No,No,Bus,3,Yes,Yes,No,Yes,Never,FF
11485,24,Female,Private,100%,No,Yes,Private,15,No,Yes,Yes,No,Always,BB
11486,24,Female,State,25%,No,Yes,Private,14,No,Yes,Yes,Yes,Sometimes,CC
11487,24,Male,Private,0%,No,Yes,Bike,10,Yes,No,No,Yes,Sometimes,DC
11488,18,Male,Other,25%,Yes,No,Bus,9,No,Yes,Yes,No,Always,CC
11489,18,Male,State,0%,No,Yes,Bus,0,No,Yes,Yes,No,Always,FF
11490,18,Female,State,0%,Yes,Yes,Bus,5,No,Yes,Yes,No,Always,DC
11491,18,Male,Private,0%,No,Yes,Bus,7,Yes,Yes,Yes,No,Always,CC
11492,24,Male,Private,50%,Yes,Yes,Bike,5,Yes,No,Yes,Yes,Always,DC
11493,24,Female,Private,0%,No,Yes,Bus,7,Yes,Yes,Yes,No,Sometimes,CC
11494,19,Male,State,25%,No,No,Bus,13,No,No,No,Yes,Always,DC
11495,23,Male,Private,75%,No,Yes,Private,6,No,Yes,Yes,Yes,Always,DC
11496,22,Male,State,25%,Yes,No,Private,7,No,No,No,Yes,Sometimes,FF
11497,25,Male,Private,100%,Yes,Yes,Bus,11,Yes,Yes,Yes,No,Sometimes,CC
11498,25,Male,Other,50%,Yes,Yes,Private,2,Yes,No,Yes,Yes,Always,DC
11499,20,Female,Private,25%,No,Yes,Bus,5,Yes,Yes,Yes,Yes,Sometimes,FF
11500,24,Male,Other,75%,No,No,Bike,5,Yes,Yes,Yes,Yes,Always,DC
11501,20,Female,Other,0%,No,No,Bus,8,Yes,Yes,Yes,Yes,Always,BB
11502,23,Female,State,0%,Yes,Yes,Bus,7,Yes,Yes,No,No,Sometimes,FF
11503,23,Female,State,50%,Yes,Yes,Bus,7,No,Yes,No,Yes,Always,CC
11504,20,Male,State,50%,Yes,No,Bus,5,Yes,Yes,Yes,Yes,Always,CC
11505,24,Male,State,75%,No,No,Bus,4,No,Yes,Yes,No,Always,DC
11506,20,Male,Private,100%,No,Yes,Private,10,No,Yes,Yes,No,Sometimes,CC
11507,25,Male,Private,25%,No,No,Bus,7,Yes,Yes,No,No,Sometimes,CC
11508,19,Male,State,50%,No,Yes,Private,10,Yes,Yes,Yes,Yes,Never,DC
11509,25,Female,State,50%,Yes,Yes,Bus,4,No,No,Yes,Yes,Always,DC
11510,21,Male,State,100%,Yes,Yes,Bus,5,No,Yes,Yes,No,Sometimes,DC
11511,24,Male,Private,75%,No,Yes,Bike,7,Yes,Yes,Yes,No,Always,CC
11512,24,Male,Private,100%,No,No,Private,7,Yes,Yes,Yes,Yes,Always,DC
11513,22,Female,Private,25%,No,Yes,Bus,11,Yes,Yes,No,No,Always,CC
11514,18,Male,Private,75%,Yes,No,Bus,6,Yes,Yes,Yes,Yes,Sometimes,FF
11515,21,Female,Private,25%,Yes,No,Private,11,Yes,Yes,Yes,Yes,Sometimes,BB
11516,23,Male,Private,25%,Yes,Yes,Bus,9,No,No,No,Yes,Always,FF
11517,24,Female,Private,100%,Yes,Yes,Bus,8,Yes,No,Yes,Yes,Sometimes,DC
